x_red,x_yellow,x_green,s_red,s_yellow,s_green
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
4.211175381,2.444444444,2.444444444,1504.285237,1511.973333,1511.973333
4.211175381,2.444444444,2.444444444,1504.285237,1511.973333,1511.973333
4.211175381,2.444444444,2.444444444,1504.285237,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
4.211175381,2.444444444,2.444444444,1504.285237,1511.973333,1511.973333
4.211175381,2.444444444,2.444444444,1504.285237,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
4.211175381,4.211175381,2.444444444,1504.285237,1504.285237,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
4.211175381,2.444444444,2.444444444,1504.285237,1511.973333,1511.973333
4.211175381,2.444444444,2.444444444,1504.285237,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
4.211175381,2.444444444,2.444444444,1504.285237,1511.973333,1511.973333
4.211175381,2.444444444,2.444444444,1504.285237,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,4.211175381,2.444444444,1511.973333,1504.285237,1511.973333
4.211175381,4.211175381,2.444444444,1504.285237,1504.285237,1511.973333
2.444444444,4.211175381,2.444444444,1511.973333,1504.285237,1511.973333
2.444444444,4.211175381,2.444444444,1511.973333,1504.285237,1511.973333
2.444444444,4.211175381,2.444444444,1511.973333,1504.285237,1511.973333
2.444444444,4.211175381,2.444444444,1511.973333,1504.285237,1511.973333
4.211175381,4.211175381,2.444444444,1504.285237,1504.285237,1511.973333
2.444444444,4.211175381,2.444444444,1511.973333,1504.285237,1511.973333
2.444444444,4.211175381,2.444444444,1511.973333,1504.285237,1511.973333
4.211175381,4.211175381,2.444444444,1504.285237,1504.285237,1511.973333
2.444444444,4.211175381,2.444444444,1511.973333,1504.285237,1511.973333
4.211175381,4.211175381,2.444444444,1504.285237,1504.285237,1511.973333
4.211175381,4.211175381,2.444444444,1504.285237,1504.285237,1511.973333
4.211175381,4.211175381,2.444444444,1504.285237,1504.285237,1511.973333
4.211175381,4.211175381,2.444444444,1504.285237,1504.285237,1511.973333
4.211175381,4.211175381,2.444444444,1504.285237,1504.285237,1511.973333
4.211175381,4.211175381,2.444444444,1504.285237,1504.285237,1511.973333
4.211175381,4.211175381,2.444444444,1504.285237,1504.285237,1511.973333
4.211175381,4.211175381,2.444444444,1504.285237,1504.285237,1511.973333
4.211175381,4.211175381,2.444444444,1504.285237,1504.285237,1511.973333
4.211175381,4.211175381,2.444444444,1504.285237,1504.285237,1511.973333
4.211175381,4.211175381,2.444444444,1504.285237,1504.285237,1511.973333
4.211175381,4.211175381,2.444444444,1504.285237,1504.285237,1511.973333
4.211175381,4.211175381,2.444444444,1504.285237,1504.285237,1511.973333
4.211175381,4.211175381,2.444444444,1504.285237,1504.285237,1511.973333
4.211175381,4.211175381,2.444444444,1504.285237,1504.285237,1511.973333
4.211175381,4.211175381,2.444444444,1504.285237,1504.285237,1511.973333
4.211175381,4.211175381,2.444444444,1504.285237,1504.285237,1511.973333
4.211175381,4.211175381,2.444444444,1504.285237,1504.285237,1511.973333
4.211175381,4.211175381,2.444444444,1504.285237,1504.285237,1511.973333
5.978880765,4.211175381,2.444444444,1496.592901,1504.285237,1511.973333
4.211175381,4.211175381,4.211175381,1504.285237,1504.285237,1504.285237
4.211175381,4.211175381,2.444444444,1504.285237,1504.285237,1511.973333
4.211175381,4.211175381,4.211175381,1504.285237,1504.285237,1504.285237
5.978880765,4.211175381,2.444444444,1496.592901,1504.285237,1511.973333
5.978880765,4.211175381,4.211175381,1496.592901,1504.285237,1504.285237
4.211175381,4.211175381,2.444444444,1504.285237,1504.285237,1511.973333
5.978880765,4.211175381,4.211175381,1496.592901,1504.285237,1504.285237
5.978880765,4.211175381,4.211175381,1496.592901,1504.285237,1504.285237
7.747561403,4.211175381,4.211175381,1488.89632,1504.285237,1504.285237
5.978880765,4.211175381,4.211175381,1496.592901,1504.285237,1504.285237
7.747561403,4.211175381,4.211175381,1488.89632,1504.285237,1504.285237
5.978880765,4.211175381,4.211175381,1496.592901,1504.285237,1504.285237
5.978880765,4.211175381,4.211175381,1496.592901,1504.285237,1504.285237
4.211175381,4.211175381,4.211175381,1504.285237,1504.285237,1504.285237
5.978880765,4.211175381,4.211175381,1496.592901,1504.285237,1504.285237
7.747561403,4.211175381,5.978880765,1488.89632,1504.285237,1496.592901
5.978880765,4.211175381,4.211175381,1496.592901,1504.285237,1504.285237
7.747561403,4.211175381,5.978880765,1488.89632,1504.285237,1496.592901
4.211175381,4.211175381,4.211175381,1504.285237,1504.285237,1504.285237
7.747561403,4.211175381,5.978880765,1488.89632,1504.285237,1496.592901
7.747561403,2.444444444,5.978880765,1488.89632,1511.973333,1496.592901
7.747561403,2.444444444,5.978880765,1488.89632,1511.973333,1496.592901
5.978880765,4.211175381,5.978880765,1496.592901,1504.285237,1496.592901
7.747561403,2.444444444,5.978880765,1488.89632,1511.973333,1496.592901
7.747561403,2.444444444,5.978880765,1488.89632,1511.973333,1496.592901
9.517218102,4.211175381,5.978880765,1481.195492,1504.285237,1496.592901
7.747561403,2.444444444,5.978880765,1488.89632,1511.973333,1496.592901
9.517218102,4.211175381,5.978880765,1481.195492,1504.285237,1496.592901
7.747561403,2.444444444,5.978880765,1488.89632,1511.973333,1496.592901
9.517218102,2.444444444,5.978880765,1481.195492,1511.973333,1496.592901
9.517218102,4.211175381,7.747561403,1481.195492,1504.285237,1488.89632
11.28785167,2.444444444,5.978880765,1473.490414,1511.973333,1496.592901
9.517218102,2.444444444,5.978880765,1481.195492,1511.973333,1496.592901
11.28785167,2.444444444,5.978880765,1473.490414,1511.973333,1496.592901
9.517218102,4.211175381,5.978880765,1481.195492,1504.285237,1496.592901
11.28785167,2.444444444,7.747561403,1473.490414,1511.973333,1488.89632
13.05946292,2.444444444,5.978880765,1465.78108,1511.973333,1496.592901
11.28785167,4.211175381,7.747561403,1473.490414,1504.285237,1488.89632
13.05946292,2.444444444,7.747561403,1465.78108,1511.973333,1488.89632
13.05946292,4.211175381,5.978880765,1465.78108,1504.285237,1496.592901
11.28785167,2.444444444,7.747561403,1473.490414,1511.973333,1488.89632
9.517218102,4.211175381,5.978880765,1481.195492,1504.285237,1496.592901
13.05946292,2.444444444,7.747561403,1465.78108,1511.973333,1488.89632
11.28785167,4.211175381,7.747561403,1473.490414,1504.285237,1488.89632
11.28785167,2.444444444,7.747561403,1473.490414,1511.973333,1488.89632
13.05946292,4.211175381,7.747561403,1465.78108,1504.285237,1488.89632
11.28785167,2.444444444,9.517218102,1473.490414,1511.973333,1481.195492
13.05946292,4.211175381,7.747561403,1465.78108,1504.285237,1488.89632
11.28785167,2.444444444,11.28785167,1473.490414,1511.973333,1473.490414
13.05946292,2.444444444,9.517218102,1465.78108,1511.973333,1481.195492
11.28785167,4.211175381,11.28785167,1473.490414,1504.285237,1473.490414
14.83205265,4.211175381,9.517218102,1458.067489,1504.285237,1481.195492
13.05946292,2.444444444,11.28785167,1465.78108,1511.973333,1473.490414
14.83205265,2.444444444,9.517218102,1458.067489,1511.973333,1481.195492
13.05946292,2.444444444,7.747561403,1465.78108,1511.973333,1488.89632
13.05946292,2.444444444,13.05946292,1465.78108,1511.973333,1465.78108
14.83205265,4.211175381,11.28785167,1458.067489,1504.285237,1473.490414
14.83205265,2.444444444,13.05946292,1458.067489,1511.973333,1465.78108
13.05946292,4.211175381,5.978880765,1465.78108,1504.285237,1496.592901
14.83205265,2.444444444,9.517218102,1458.067489,1511.973333,1481.195492
16.60562169,4.211175381,13.05946292,1450.349637,1504.285237,1465.78108
14.83205265,2.444444444,11.28785167,1458.067489,1511.973333,1473.490414
16.60562169,4.211175381,14.83205265,1450.349637,1504.285237,1458.067489
18.38017084,4.211175381,11.28785167,1442.627519,1504.285237,1473.490414
18.38017084,4.211175381,9.517218102,1442.627519,1504.285237,1481.195492
20.15570091,4.211175381,11.28785167,1434.901132,1504.285237,1473.490414
18.38017084,4.211175381,9.517218102,1442.627519,1504.285237,1481.195492
20.15570091,4.211175381,13.05946292,1434.901132,1504.285237,1465.78108
16.60562169,4.211175381,11.28785167,1450.349637,1504.285237,1473.490414
18.38017084,4.211175381,13.05946292,1442.627519,1504.285237,1465.78108
20.15570091,4.211175381,16.60562169,1434.901132,1504.285237,1450.349637
20.15570091,4.211175381,13.05946292,1434.901132,1504.285237,1465.78108
18.38017084,4.211175381,16.60562169,1442.627519,1504.285237,1450.349637
20.15570091,4.211175381,13.05946292,1434.901132,1504.285237,1465.78108
20.15570091,4.211175381,16.60562169,1434.901132,1504.285237,1450.349637
18.38017084,4.211175381,13.05946292,1442.627519,1504.285237,1465.78108
20.15570091,4.211175381,14.83205265,1434.901132,1504.285237,1458.067489
21.93221272,4.211175381,18.38017084,1427.170474,1504.285237,1442.627519
23.70970708,4.211175381,14.83205265,1419.43554,1504.285237,1458.067489
21.93221272,4.211175381,21.93221272,1427.170474,1504.285237,1427.170474
20.15570091,4.211175381,11.28785167,1434.901132,1504.285237,1473.490414
21.93221272,4.211175381,20.15570091,1427.170474,1504.285237,1434.901132
23.70970708,4.211175381,16.60562169,1419.43554,1504.285237,1450.349637
21.93221272,4.211175381,14.83205265,1427.170474,1504.285237,1458.067489
25.4881848,4.211175381,18.38017084,1411.696326,1504.285237,1442.627519
21.93221272,4.211175381,11.28785167,1427.170474,1504.285237,1473.490414
25.4881848,4.211175381,18.38017084,1411.696326,1504.285237,1442.627519
21.93221272,4.211175381,14.83205265,1427.170474,1504.285237,1458.067489
23.70970708,4.211175381,13.05946292,1419.43554,1504.285237,1465.78108
21.93221272,4.211175381,16.60562169,1427.170474,1504.285237,1450.349637
