xred,xyellow,xgreen,sred,syellow,sgreen
0.645755916,0.645755916,0.645755916,399.422342,399.422342,399.422342
0.645755916,1.112478306,0.179290735,399.422342,397.3913555,401.4522092
0.645755916,0.645755916,0.179290735,399.422342,399.422342,401.4522092
1.112478306,2.981944226,0.179290735,397.3913555,389.2561985,401.4522092
0.645755916,2.514190866,0.179290735,399.422342,391.2916713,401.4522092
0.645755916,0.645755916,0.179290735,399.422342,399.422342,401.4522092
0.645755916,0.645755916,0.179290735,399.422342,399.422342,401.4522092
0.645755916,1.112478306,0.179290735,399.422342,397.3913555,401.4522092
0.645755916,0.645755916,0.179290735,399.422342,399.422342,401.4522092
0.645755916,1.112478306,0.179290735,399.422342,397.3913555,401.4522092
0.645755916,1.112478306,0.179290735,399.422342,397.3913555,401.4522092
0.645755916,1.112478306,0.179290735,399.422342,397.3913555,401.4522092
0.645755916,0.645755916,0.179290735,399.422342,399.422342,401.4522092
0.645755916,1.112478306,0.179290735,399.422342,397.3913555,401.4522092
0.645755916,1.112478306,0.179290735,399.422342,397.3913555,401.4522092
0.645755916,1.112478306,0.179290735,399.422342,397.3913555,401.4522092
0.645755916,1.112478306,0.179290735,399.422342,397.3913555,401.4522092
0.645755916,1.112478306,0.179290735,399.422342,397.3913555,401.4522092
0.645755916,0.645755916,0.179290735,399.422342,399.422342,401.4522092
0.645755916,1.112478306,0.179290735,399.422342,397.3913555,401.4522092
0.645755916,0.645755916,0.179290735,399.422342,399.422342,401.4522092
0.645755916,1.112478306,0.179290735,399.422342,397.3913555,401.4522092
0.645755916,0.645755916,0.179290735,399.422342,399.422342,401.4522092
0.645755916,1.112478306,0.179290735,399.422342,397.3913555,401.4522092
0.645755916,1.112478306,0.179290735,399.422342,397.3913555,401.4522092
0.645755916,0.645755916,0.179290735,399.422342,399.422342,401.4522092
0.645755916,1.112478306,0.179290735,399.422342,397.3913555,401.4522092
0.645755916,0.645755916,0.179290735,399.422342,399.422342,401.4522092
0.645755916,1.112478306,0.179290735,399.422342,397.3913555,401.4522092
0.645755916,0.645755916,0.179290735,399.422342,399.422342,401.4522092
0.645755916,1.112478306,0.645755916,399.422342,397.3913555,399.422342
0.645755916,1.112478306,0.179290735,399.422342,397.3913555,401.4522092
0.645755916,0.645755916,0.645755916,399.422342,399.422342,399.422342
0.645755916,1.112478306,0.179290735,399.422342,397.3913555,401.4522092
0.645755916,0.645755916,0.645755916,399.422342,399.422342,399.422342
0.645755916,0.645755916,0.179290735,399.422342,399.422342,401.4522092
0.645755916,1.112478306,0.179290735,399.422342,397.3913555,401.4522092
0.645755916,1.112478306,0.645755916,399.422342,397.3913555,399.422342
0.645755916,1.112478306,0.179290735,399.422342,397.3913555,401.4522092
0.645755916,0.645755916,0.645755916,399.422342,399.422342,399.422342
1.112478306,1.112478306,0.179290735,397.3913555,397.3913555,401.4522092
0.645755916,1.112478306,0.645755916,399.422342,397.3913555,399.422342
0.645755916,1.112478306,0.179290735,399.422342,397.3913555,401.4522092
0.645755916,1.112478306,0.645755916,399.422342,397.3913555,399.422342
0.645755916,1.112478306,0.179290735,399.422342,397.3913555,401.4522092
1.112478306,0.645755916,0.645755916,397.3913555,399.422342,399.422342
0.645755916,1.112478306,0.645755916,399.422342,397.3913555,399.422342
0.645755916,0.645755916,0.645755916,399.422342,399.422342,399.422342
0.645755916,1.112478306,0.645755916,399.422342,397.3913555,399.422342
0.645755916,0.645755916,0.645755916,399.422342,399.422342,399.422342
0.645755916,1.112478306,0.645755916,399.422342,397.3913555,399.422342
0.645755916,1.112478306,0.645755916,399.422342,397.3913555,399.422342
1.112478306,1.112478306,0.645755916,397.3913555,397.3913555,399.422342
0.645755916,1.112478306,0.645755916,399.422342,397.3913555,399.422342
1.112478306,1.112478306,0.645755916,397.3913555,397.3913555,399.422342
1.112478306,1.112478306,0.645755916,397.3913555,397.3913555,399.422342
0.645755916,1.112478306,0.645755916,399.422342,397.3913555,399.422342
1.112478306,1.112478306,0.645755916,397.3913555,397.3913555,399.422342
0.645755916,1.112478306,0.645755916,399.422342,397.3913555,399.422342
1.112478306,1.112478306,0.645755916,397.3913555,397.3913555,399.422342
0.645755916,1.112478306,0.645755916,399.422342,397.3913555,399.422342
1.112478306,1.112478306,0.645755916,397.3913555,397.3913555,399.422342
0.645755916,1.112478306,0.645755916,399.422342,397.3913555,399.422342
1.112478306,1.112478306,1.112478306,397.3913555,397.3913555,397.3913555
0.645755916,1.112478306,0.645755916,399.422342,397.3913555,399.422342
1.112478306,1.112478306,0.645755916,397.3913555,397.3913555,399.422342
0.645755916,1.112478306,0.645755916,399.422342,397.3913555,399.422342
1.112478306,1.112478306,1.112478306,397.3913555,397.3913555,397.3913555
0.645755916,1.112478306,1.112478306,399.422342,397.3913555,397.3913555
1.112478306,1.112478306,0.645755916,397.3913555,397.3913555,399.422342
1.112478306,1.112478306,1.112478306,397.3913555,397.3913555,397.3913555
1.112478306,1.112478306,1.112478306,397.3913555,397.3913555,397.3913555
1.112478306,1.112478306,1.112478306,397.3913555,397.3913555,397.3913555
1.112478306,1.112478306,1.112478306,397.3913555,397.3913555,397.3913555
1.112478306,1.112478306,1.112478306,397.3913555,397.3913555,397.3913555
1.112478306,1.112478306,1.112478306,397.3913555,397.3913555,397.3913555
1.112478306,1.112478306,1.112478306,397.3913555,397.3913555,397.3913555
1.112478306,1.112478306,1.112478306,397.3913555,397.3913555,397.3913555
1.112478306,1.112478306,1.112478306,397.3913555,397.3913555,397.3913555
1.112478306,1.112478306,1.579458119,397.3913555,397.3913555,395.3592489
