ln,s
0,1511.973333
0,1511.973333
0,1511.973333
0,1511.973333
0,1511.973333
0,1511.973333
0,1511.973333
0,1511.973333
0,1511.973333
0,1511.973333
0,1511.973333
0,1511.973333
0,1511.973333
0,1511.973333
0,1511.973333
0,1511.973333
0,1511.973333
0,1511.973333
0,1511.973333
0,1511.973333
0,1511.973333
0,1511.973333
0,1511.973333
0,1511.973333
0,1511.973333
0,1511.973333
0.543923921,1504.285237
0,1511.973333
0,1511.973333
0,1511.973333
0,1511.973333
0,1511.973333
0,1511.973333
0,1511.973333
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0,1511.973333
0,1511.973333
0.543923921,1504.285237
0,1511.973333
0,1511.973333
0.543923921,1504.285237
0,1511.973333
0.543923921,1504.285237
0,1511.973333
0,1511.973333
0.543923921,1504.285237
0,1511.973333
0,1511.973333
0,1511.973333
0.543923921,1504.285237
0,1511.973333
0,1511.973333
0.543923921,1504.285237
0,1511.973333
0.543923921,1504.285237
0,1511.973333
0.543923921,1504.285237
0,1511.973333
0.543923921,1504.285237
0,1511.973333
0.543923921,1504.285237
0,1511.973333
0.543923921,1504.285237
0,1511.973333
0,1511.973333
0.543923921,1504.285237
0.543923921,1504.285237
0,1511.973333
0,1511.973333
0,1511.973333
0,1511.973333
0.543923921,1504.285237
0,1511.973333
0.543923921,1504.285237
0,1511.973333
0.543923921,1504.285237
0,1511.973333
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.543923921,1504.285237
0.894415511,1496.592901
0.543923921,1504.285237
0.894415511,1496.592901
0.543923921,1504.285237
0.894415511,1496.592901
0.543923921,1504.285237
0.543923921,1504.285237
0.894415511,1496.592901
0.543923921,1504.285237
0.894415511,1496.592901
0.543923921,1504.285237
0.894415511,1496.592901
0.543923921,1504.285237
0.894415511,1496.592901
0.543923921,1504.285237
0.894415511,1496.592901
0.543923921,1504.285237
0.894415511,1496.592901
0.894415511,1496.592901
0.543923921,1504.285237
0.894415511,1496.592901
0.543923921,1504.285237
0.894415511,1496.592901
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.894415511,1496.592901
0.543923921,1504.285237
0.894415511,1496.592901
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.894415511,1496.592901
0.543923921,1504.285237
0.894415511,1496.592901
0.543923921,1504.285237
0.894415511,1496.592901
0.543923921,1504.285237
0.543923921,1504.285237
0.894415511,1496.592901
0.543923921,1504.285237
0.894415511,1496.592901
0.894415511,1496.592901
0.543923921,1504.285237
0.894415511,1496.592901
0.543923921,1504.285237
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.543923921,1504.285237
0.894415511,1496.592901
0.543923921,1504.285237
0.894415511,1496.592901
0.543923921,1504.285237
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.894415511,1496.592901
0.543923921,1504.285237
0.894415511,1496.592901
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0.543923921,1504.285237
0,1511.973333
0,1511.973333
0,1511.973333
0,1511.973333
0,1511.973333
0,1511.973333
0.543923921,1504.285237
0,1511.973333
0.543923921,1504.285237
0.543923921,1504.285237
0.894415511,1496.592901
0.543923921,1504.285237
0.894415511,1496.592901
0.894415511,1496.592901
0.543923921,1504.285237
0.894415511,1496.592901
0.543923921,1504.285237
0.894415511,1496.592901
1.15356026,1488.89632
0.894415511,1496.592901
0.543923921,1504.285237
0.894415511,1496.592901
0.894415511,1496.592901
0.543923921,1504.285237
0.543923921,1504.285237
0.894415511,1496.592901
0.543923921,1504.285237
0.894415511,1496.592901
1.529909198,1473.490414
1.359284714,1481.195492
1.15356026,1488.89632
1.359284714,1481.195492
1.15356026,1488.89632
1.359284714,1481.195492
1.15356026,1488.89632
1.359284714,1481.195492
1.15356026,1488.89632
1.359284714,1481.195492
1.529909198,1473.490414
1.675695123,1465.78108
1.529909198,1473.490414
1.359284714,1481.195492
1.529909198,1473.490414
1.359284714,1481.195492
1.529909198,1473.490414
1.359284714,1481.195492
1.359284714,1481.195492
1.529909198,1473.490414
1.359284714,1481.195492
1.529909198,1473.490414
1.802972683,1458.067489
1.915923418,1450.349637
1.802972683,1458.067489
1.675695123,1465.78108
1.802972683,1458.067489
1.675695123,1465.78108
1.802972683,1458.067489
1.675695123,1465.78108
1.802972683,1458.067489
1.675695123,1465.78108
1.915923418,1450.349637
2.017454536,1442.627519
1.675695123,1465.78108
1.802972683,1458.067489
1.675695123,1465.78108
2.017454536,1442.627519
1.915923418,1450.349637
1.802972683,1458.067489
1.675695123,1465.78108
1.802972683,1458.067489
1.915923418,1450.349637
2.017454536,1442.627519
1.915923418,1450.349637
1.529909198,1473.490414
1.802972683,1458.067489
1.915923418,1450.349637
2.017454536,1442.627519
1.915923418,1450.349637
2.017454536,1442.627519
1.915923418,1450.349637
2.109669296,1434.901132
1.915923418,1450.349637
2.109669296,1434.901132
2.017454536,1442.627519
2.109669296,1434.901132
2.27206667,1419.43554
2.109669296,1434.901132
2.109669296,1434.901132
2.19413858,1427.170474
2.27206667,1419.43554
2.344397128,1411.696326
2.19413858,1427.170474
2.27206667,1419.43554
2.19413858,1427.170474
2.109669296,1434.901132
2.27206667,1419.43554
2.19413858,1427.170474
2.344397128,1411.696326
2.27206667,1419.43554
2.27206667,1419.43554
2.27206667,1419.43554
2.19413858,1427.170474
2.27206667,1419.43554
2.27206667,1419.43554
2.27206667,1419.43554
2.19413858,1427.170474
2.344397128,1411.696326
2.27206667,1419.43554
2.19413858,1427.170474
2.27206667,1419.43554
2.344397128,1411.696326
2.411883021,1403.95283
2.344397128,1411.696326
2.19413858,1427.170474
2.344397128,1411.696326
2.411883021,1403.95283
2.344397128,1411.696326
2.475134981,1396.205048
2.411883021,1403.95283
2.475134981,1396.205048
2.590860778,1380.69661
2.644103579,1372.935947
2.590860778,1380.69661
2.475134981,1396.205048
2.644103579,1372.935947
2.788829851,1349.628141
2.788829851,1349.628141
2.74285028,1357.401716
2.788829851,1349.628141
2.74285028,1357.401716
