X Red,X Yellow,X Green,S Red,S Yellow ,S Green
0.645755916,0.645755916,0.645755916,399.422342,399.422342,399.422342
0.179290735,0.645755916,0.645755916,401.4522092,399.422342,399.422342
0.645755916,0.645755916,1.112478306,399.422342,399.422342,397.3913555
0.645755916,0.645755916,0.645755916,399.422342,399.422342,399.422342
0.645755916,0.645755916,0.645755916,399.422342,399.422342,399.422342
0.645755916,0.645755916,0.645755916,399.422342,399.422342,399.422342
0.645755916,0.645755916,0.645755916,399.422342,399.422342,399.422342
0.645755916,0.645755916,0.645755916,399.422342,399.422342,399.422342
0.179290735,0.645755916,0.645755916,401.4522092,399.422342,399.422342
0.645755916,0.645755916,0.645755916,399.422342,399.422342,399.422342
0.645755916,0.645755916,0.645755916,399.422342,399.422342,399.422342
0.179290735,0.645755916,0.645755916,401.4522092,399.422342,399.422342
0.645755916,0.645755916,0.645755916,399.422342,399.422342,399.422342
0.645755916,0.645755916,0.645755916,399.422342,399.422342,399.422342
0.645755916,0.645755916,0.645755916,399.422342,399.422342,399.422342
0.179290735,0.645755916,0.645755916,401.4522092,399.422342,399.422342
0.645755916,0.645755916,0.645755916,399.422342,399.422342,399.422342
0.645755916,0.645755916,0.645755916,399.422342,399.422342,399.422342
0.645755916,0.645755916,0.645755916,399.422342,399.422342,399.422342
0.645755916,0.645755916,0.645755916,399.422342,399.422342,399.422342
0.645755916,0.645755916,0.645755916,399.422342,399.422342,399.422342
0.645755916,0.645755916,0.645755916,399.422342,399.422342,399.422342
0.645755916,0.645755916,0.645755916,399.422342,399.422342,399.422342
0.645755916,0.645755916,0.645755916,399.422342,399.422342,399.422342
0.645755916,0.645755916,0.645755916,399.422342,399.422342,399.422342
0.645755916,0.645755916,0.645755916,399.422342,399.422342,399.422342
0.645755916,0.645755916,0.645755916,399.422342,399.422342,399.422342
0.645755916,0.645755916,0.645755916,399.422342,399.422342,399.422342
0.645755916,0.645755916,0.645755916,399.422342,399.422342,399.422342
0.645755916,0.645755916,0.645755916,399.422342,399.422342,399.422342
0.645755916,0.645755916,0.645755916,399.422342,399.422342,399.422342
0.645755916,0.645755916,0.645755916,399.422342,399.422342,399.422342
0.645755916,0.645755916,0.645755916,399.422342,399.422342,399.422342
0.645755916,0.645755916,0.645755916,399.422342,399.422342,399.422342
0.645755916,0.645755916,0.645755916,399.422342,399.422342,399.422342
0.645755916,0.645755916,1.112478306,399.422342,399.422342,397.3913555
0.645755916,0.645755916,0.645755916,399.422342,399.422342,399.422342
0.645755916,0.645755916,0.645755916,399.422342,399.422342,399.422342
0.645755916,0.645755916,1.112478306,399.422342,399.422342,397.3913555
0.645755916,0.645755916,1.112478306,399.422342,399.422342,397.3913555
0.645755916,0.645755916,1.112478306,399.422342,399.422342,397.3913555
0.645755916,0.645755916,0.645755916,399.422342,399.422342,399.422342
0.179290735,0.645755916,1.112478306,401.4522092,399.422342,397.3913555
0.645755916,0.645755916,0.645755916,399.422342,399.422342,399.422342
0.645755916,0.645755916,1.112478306,399.422342,399.422342,397.3913555
0.645755916,0.645755916,1.112478306,399.422342,399.422342,397.3913555
0.645755916,0.645755916,1.112478306,399.422342,399.422342,397.3913555
0.645755916,0.645755916,1.112478306,399.422342,399.422342,397.3913555
0.645755916,0.645755916,1.112478306,399.422342,399.422342,397.3913555
0.645755916,0.645755916,1.112478306,399.422342,399.422342,397.3913555
0.645755916,0.645755916,1.112478306,399.422342,399.422342,397.3913555
0.645755916,0.645755916,1.112478306,399.422342,399.422342,397.3913555
0.645755916,0.645755916,1.112478306,399.422342,399.422342,397.3913555
0.645755916,0.645755916,1.112478306,399.422342,399.422342,397.3913555
0.645755916,0.645755916,1.112478306,399.422342,399.422342,397.3913555
0.645755916,0.645755916,1.112478306,399.422342,399.422342,397.3913555
0.645755916,0.645755916,1.112478306,399.422342,399.422342,397.3913555
0.645755916,0.645755916,1.112478306,399.422342,399.422342,397.3913555
0.179290735,0.645755916,1.112478306,401.4522092,399.422342,397.3913555
0.645755916,0.645755916,1.112478306,399.422342,399.422342,397.3913555
0.179290735,0.645755916,1.112478306,401.4522092,399.422342,397.3913555
0.645755916,0.645755916,1.112478306,399.422342,399.422342,397.3913555
0.645755916,0.645755916,1.112478306,399.422342,399.422342,397.3913555
0.179290735,0.645755916,1.112478306,401.4522092,399.422342,397.3913555
0.645755916,0.645755916,1.112478306,399.422342,399.422342,397.3913555
0.645755916,0.645755916,1.112478306,399.422342,399.422342,397.3913555
0.645755916,0.645755916,1.112478306,399.422342,399.422342,397.3913555
0.645755916,0.645755916,1.112478306,399.422342,399.422342,397.3913555
0.645755916,0.645755916,1.579458119,399.422342,399.422342,395.3592489
0.645755916,0.645755916,1.579458119,399.422342,399.422342,395.3592489
0.645755916,0.645755916,1.579458119,399.422342,399.422342,395.3592489
0.645755916,0.645755916,1.579458119,399.422342,399.422342,395.3592489
0.645755916,0.645755916,1.579458119,399.422342,399.422342,395.3592489
0.645755916,0.645755916,1.579458119,399.422342,399.422342,395.3592489
0.645755916,0.645755916,2.046695568,399.422342,399.422342,393.3260211
0.645755916,0.645755916,2.046695568,399.422342,399.422342,393.3260211
0.645755916,0.645755916,2.981944226,399.422342,399.422342,389.2561985
0.645755916,0.645755916,2.981944226,399.422342,399.422342,389.2561985
0.645755916,0.645755916,2.981944226,399.422342,399.422342,389.2561985
0.645755916,0.645755916,2.981944226,399.422342,399.422342,389.2561985
0.645755916,0.645755916,2.981944226,399.422342,399.422342,389.2561985
0.645755916,1.112478306,2.981944226,399.422342,397.3913555,389.2561985
0.645755916,0.645755916,2.981944226,399.422342,399.422342,389.2561985
