x_red,x_yellow,x_green,s_red,s_yellow,s_green
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
0.67868715,2.444444444,2.444444444,1519.657193,1511.973333,1511.973333
2.444444444,2.444444444,4.211175381,1511.973333,1511.973333,1504.285237
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
0.67868715,2.444444444,2.444444444,1519.657193,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
0.67868715,2.444444444,2.444444444,1519.657193,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
0.67868715,2.444444444,2.444444444,1519.657193,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,4.211175381,1511.973333,1511.973333,1504.285237
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,4.211175381,1511.973333,1511.973333,1504.285237
2.444444444,2.444444444,4.211175381,1511.973333,1511.973333,1504.285237
2.444444444,2.444444444,4.211175381,1511.973333,1511.973333,1504.285237
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
0.67868715,2.444444444,4.211175381,1519.657193,1511.973333,1504.285237
2.444444444,2.444444444,2.444444444,1511.973333,1511.973333,1511.973333
2.444444444,2.444444444,4.211175381,1511.973333,1511.973333,1504.285237
2.444444444,2.444444444,4.211175381,1511.973333,1511.973333,1504.285237
2.444444444,2.444444444,4.211175381,1511.973333,1511.973333,1504.285237
2.444444444,2.444444444,4.211175381,1511.973333,1511.973333,1504.285237
